"unix_time","race","arstmade","lat","lng","daystop","monthstop"
1296536460,"B","N",40.587723,-73.81009,1,2
1296536460,"B","Y",40.824031,-73.944758,1,2
1296536520,"Z","N",40.6752,-73.999351,1,2
1296536700,"Q","N",40.826657,-73.873895,1,2
1296536700,"B","N",40.816224,-73.941838,1,2
1296536700,"Q","N",40.704763,-73.919956,1,2
1296536700,"W","N",40.704763,-73.919956,1,2
1296536700,"W","N",40.816224,-73.941838,1,2
1296536880,"B","N",40.761422,-73.984048,1,2
1296536940,"B","N",40.646626,-74.008724,1,2
1296536940,"W","N",40.7563,-73.772947,1,2
1296537000,"P","N",40.797729,-73.94651,1,2
1296537000,"W","N",40.579983,-73.97476,1,2
1296537300,"W","N",40.529754,-74.21103,1,2
1296537300,"B","N",40.756876,-73.944351,1,2
1296537300,"Q","N",40.750408,-73.863984,1,2
1296537360,"P","N",40.710056,-73.794599,1,2
1296537360,"Q","N",40.827443,-73.875075,1,2
1296537600,"P","N",40.821705,-73.91902,1,2
1296537600,"Q","N",40.675781,-74.001395,1,2
1296537780,"Q","N",40.824946,-73.878335,1,2
1296537900,"Q","N",40.683243,-73.870077,1,2
1296537900,"B","N",40.703586,-73.944331,1,2
1296537900,"Q","N",40.750135,-73.860765,1,2
1296537900,"Q","N",40.707935,-73.785769,1,2
1296537960,"B","N",40.669645,-73.910939,1,2
1296538140,"W","N",40.569972,-74.110247,1,2
1296538140,"W","N",40.569972,-74.110247,1,2
1296538200,"B","N",40.757232,-73.989792,1,2
1296538320,"B","N",40.797715,-73.944411,1,2
1296538320,"B","N",40.797715,-73.944411,1,2
1296538500,"B","N",40.604802,-73.966795,1,2
1296538500,"Q","N",40.812842,-73.922011,1,2
1296538560,"B","N",40.670581,-73.930952,1,2
1296539100,"B","N",NA,NA,1,2
1296539100,"Q","N",40.753263,-73.864447,1,2
1296539100,"Q","N",40.753263,-73.864447,1,2
1296539280,"W","N",40.681611,-73.987665,1,2
1296539400,"W","N",40.687214,-73.835602,1,2
1296539400,"B","N",40.636838,-74.118374,1,2
1296539400,"B","N",40.636838,-74.118374,1,2
1296539400,"B","N",40.687214,-73.835602,1,2
1296539400,"P","N",40.831993,-73.905402,1,2
1296539400,"Q","N",40.743675,-73.887098,1,2
1296539700,"Q","N",40.773963,-73.922793,1,2
1296540000,"Z","N",40.635969,-74.117457,1,2
1296540000,"B","N",40.806023,-73.920332,1,2
1296540000,"B","N",40.883723,-73.833478,1,2
1296540000,"P","N",40.743675,-73.887098,1,2
1296540000,"Q","N",40.667096,-73.922751,1,2
1296540000,"Q","N",40.667096,-73.922751,1,2
1296540000,"Q","N",40.69125,-73.850863,1,2
1296540000,"Q","N",40.82581,-73.90703,1,2
1296540000,"W","N",40.69125,-73.850863,1,2
1296540000,"W","N",40.712454,-73.955967,1,2
1296540180,"B","N",40.800538,-73.948349,1,2
1296540180,"B","N",40.800538,-73.948349,1,2
1296540300,"B","N",40.648176,-73.897652,1,2
1296540300,"B","N",40.801207,-73.945669,1,2
1296540300,"P","N",NA,NA,1,2
1296540300,"Q","N",40.757232,-73.989792,1,2
1296540300,"Q","N",40.69125,-73.850863,1,2
1296540300,"Q","N",40.849542,-73.936398,1,2
1296540300,"W","N",NA,NA,1,2
1296540300,"W","N",NA,NA,1,2
1296540300,"W","N",40.777493,-73.942912,1,2
1296540300,"Z","N",40.664628,-73.849917,1,2
1296540600,"B","N",40.821645,-73.94313,1,2
1296540600,"P","N",40.773428,-73.987009,1,2
1296540600,"P","N",40.837511,-73.906587,1,2
1296540660,"Q","N",40.829445,-73.901532,1,2
1296540720,"B","N",40.670167,-73.914788,1,2
1296540780,"Q","N",40.666597,-73.871746,1,2
1296540900,"Q","N",40.698965,-73.918632,1,2
1296540900,"W","N",40.68766,-73.850569,1,2
