"unix_time","race","arstmade","lat","lng","daystop","monthstop"
1306990200,"B","N",40.835309,-73.943968,2,6
1307019000,"W","N",NA,NA,2,6
1307049600,"B","N",40.804375,-73.93742,2,6
1307158200,"B","N",40.81566,-73.906239,3,6
1307164200,"Q","N",40.843907,-73.936989,4,6
1307226600,"B","N",40.811412,-73.936517,4,6
1307229000,"B","N",40.807339,-73.936586,4,6
1307232000,"B","N",40.702911,-73.780869,4,6
1307234400,"B","N",40.711534,-74.010464,4,6
1307239200,"Q","N",40.827747,-73.899237,4,6
1307248800,"B","N",40.797255,-73.942609,5,6
1307253300,"Q","N",40.668305,-73.896908,5,6
1307341200,"Q","N",40.820085,-73.952988,6,6
1307397600,"B","N",NA,NA,6,6
1307399400,"B","N",40.64513,-73.948963,6,6
1307408700,"Q","N",40.84503,-73.937598,6,6
1307467200,"Q","N",40.663174,-73.904762,7,6
1307488800,"B","N",40.6743,-73.95737,7,6
1307493000,"B","N",40.667499,-73.918955,7,6
1307507700,"B","N",40.812821,-73.915628,8,6
1307556000,"B","N",40.634054,-73.961139,8,6
1307592600,"B","N",40.805784,-73.950653,9,6
1307596200,"B","N",40.668586,-73.873235,9,6
1307641200,"Q","N",NA,NA,9,6
1307671200,"B","N",40.862933,-73.898254,9,6
1307751300,"B","N",40.829979,-73.913987,10,6
1307757000,"B","N",40.630807,-73.923305,10,6
1307757600,"B","N",40.635542,-73.922831,10,6
1307761200,"B","N",40.679048,-73.951302,10,6
1307761200,"B","N",40.667623,-73.863583,10,6
1307761200,"B","N",40.81505,-73.92426,10,6
1307859300,"B","N",40.65152,-73.90945,12,6
1307919000,"B","N",40.667687,-73.895805,12,6
1307928000,"Q","N",40.720885,-73.984144,12,6
1308012900,"B","N",40.81609,-73.90864,13,6
1308071700,"B","N",40.711534,-74.010464,14,6
1308085200,"B","N",40.760353,-73.991231,14,6
1308092700,"B","N",40.673159,-73.789017,14,6
1308097800,"B","N",NA,NA,14,6
1308148800,"B","N",40.778763,-73.981993,15,6
1308196500,"B","N",40.790497,-73.967927,15,6
1308236400,"Q","N",40.620594,-73.919333,16,6
1308267000,"B","N",40.681235,-73.928727,16,6
1308283380,"B","N",NA,NA,17,6
1308367800,"B","N",40.688175,-73.946525,17,6
1308367800,"P","N",40.828528,-73.947511,17,6
1308438000,"B","N",NA,NA,18,6
