"unix_time","race","arstmade","lat","lng","daystop","monthstop"
1298955600,"B","N",40.649548,-73.958492,1,3
1298955600,"B","N",40.64787,-73.955736,1,3
1298955600,"B","N",40.652577,-73.915939,1,3
1298955600,"B","N",40.652577,-73.915939,1,3
1298955600,"Q","N",40.81972,-73.940476,1,3
1298955720,"B","N",40.757232,-73.989792,1,3
1298955840,"W","Y",40.640949,-74.076785,1,3
1298955840,"W","Y",40.640949,-74.076785,1,3
1298955900,"B","N",40.674086,-73.94583,1,3
1298955900,"B","N",40.701196,-73.914089,1,3
1298955900,"B","N",40.799931,-73.940664,1,3
1298956200,"B","Y",40.799958,-73.960525,1,3
1298956200,"B","N",40.821859,-73.895878,1,3
1298956200,"B","N",40.70133,-73.741393,1,3
1298956200,"Q","N",40.845433,-73.936572,1,3
1298956260,"B","N",40.672149,-73.911152,1,3
1298956500,"B","N",40.736175,-73.97897,1,3
1298956500,"B","N",40.756035,-73.986948,1,3
1298956500,"P","N",40.826151,-73.877653,1,3
1298956500,"W","N",40.736175,-73.97897,1,3
1298956500,"W","N",40.723627,-73.804738,1,3
1298956560,"B","N",40.82083,-73.823598,1,3
1298956800,"B","N",40.873301,-73.853637,1,3
1298956800,"Q","N",40.640374,-73.897012,1,3
1298956860,"Q","N",40.824704,-73.951723,1,3
1298956980,"P","N",40.82614,-73.877798,1,3
1298956980,"P","N",40.826151,-73.877653,1,3
1298956980,"P","N",40.826151,-73.877653,1,3
1298956980,"Q","N",40.82614,-73.877798,1,3
1298957100,"B","N",40.824059,-73.899799,1,3
1298957100,"B","N",NA,NA,1,3
1298957100,"B","N",NA,NA,1,3
1298957280,"B","N",40.674552,-73.803598,1,3
1298957400,"B","N",40.86857,-73.858572,1,3
1298957400,"Q","N",40.718006,-73.986598,1,3
1298957520,"B","N",40.809128,-73.925834,1,3
1298957520,"Q","N",40.789221,-73.946379,1,3
1298957700,"W","N",40.660656,-73.885786,1,3
1298957700,"W","N",40.660656,-73.885786,1,3
1298957700,"W","N",40.660656,-73.885786,1,3
1298957760,"B","N",40.645629,-74.088015,1,3
1298958000,"Q","N",40.835719,-73.877491,1,3
1298958000,"B","N",40.687682,-73.989831,1,3
1298958000,"B","N",40.824509,-73.951854,1,3
1298958000,"P","N",40.818382,-73.868849,1,3
1298958000,"Q","N",40.821077,-73.892852,1,3
1298958000,"Q","N",40.835719,-73.877491,1,3
1298958000,"Q","N",40.846725,-73.93562,1,3
1298958000,"Q","N",40.687682,-73.989831,1,3
1298958000,"Z","N",40.846725,-73.93562,1,3
1298958060,"B","N",40.834193,-73.904073,1,3
1298958300,"B","N",40.665666,-73.907841,1,3
1298958300,"B","N",40.665666,-73.907841,1,3
1298958300,"P","N",40.867207,-73.895016,1,3
1298958300,"Q","N",40.74763,-73.883937,1,3
1298958300,"Q","N",40.847356,-73.935171,1,3
1298958300,"Z","N",40.827811,-73.925929,1,3
1298958300,"Z","N",40.67428,-73.91669,1,3
1298958360,"Z","N",40.846192,-73.93845,1,3
1298958360,"Z","N",40.846192,-73.93845,1,3
1298958600,"Q","N",40.867207,-73.895016,1,3
1298958720,"Q","N",40.810423,-73.925992,1,3
1298958900,"B","Y",40.810764,-73.95259,1,3
1298958900,"B","N",40.651532,-73.935008,1,3
1298958900,"Q","N",40.828655,-73.908359,1,3
1298958960,"B","N",40.651532,-73.935008,1,3
1298959020,"B","N",40.804994,-73.934869,1,3
1298959200,"B","N",40.81972,-73.940476,1,3
1298959200,"B","N",40.833916,-73.927006,1,3
1298959200,"Q","Y",40.798328,-73.940947,1,3
1298959200,"Q","N",40.834341,-73.896965,1,3
1298959200,"W","N",40.758533,-73.988842,1,3
1298959380,"B","N",40.82034,-73.940021,1,3
1298959380,"Q","N",40.826472,-73.891904,1,3
1298959800,"A","N",40.634574,-73.905949,1,3
1298959800,"B","N",40.837055,-73.906873,1,3
1298959800,"B","N",40.664592,-73.907604,1,3
1298959800,"B","N",40.820524,-73.939898,1,3
1298959800,"B","N",40.664592,-73.907604,1,3
1298959800,"B","N",40.805736,-73.940644,1,3
1298959800,"B","N",40.687927,-73.933051,1,3
1298959860,"B","N",40.82034,-73.940021,1,3
1298959980,"B","Y",40.70206,-73.992613,1,3
1298960040,"A","N",40.692626,-73.92367,1,3
1298960100,"B","Y",40.748743,-74.000779,1,3
1298960100,"B","N",40.799528,-73.932844,1,3
1298960160,"B","N",40.669736,-73.931032,1,3
1298960160,"B","N",40.82034,-73.940021,1,3
1298960280,"B","N",40.798226,-73.940658,1,3
1298960280,"B","N",40.798226,-73.940658,1,3
1298960280,"Q","N",40.798226,-73.940658,1,3
1298960280,"B","N",40.833544,-73.896301,1,3
1298960280,"Q","N",40.798226,-73.940658,1,3
1298960280,"Q","N",40.798226,-73.940658,1,3
1298960400,"B","N",40.820918,-73.943322,1,3
1298960400,"B","N",40.820918,-73.943322,1,3
1298960400,"B","N",40.59116,-73.944972,1,3
1298960400,"B","N",40.59116,-73.944972,1,3
1298960400,"Q","N",40.665489,-73.921365,1,3
1298960400,"Q","N",40.756035,-73.986948,1,3
1298960700,"Q","N",40.742807,-73.751633,1,3
1298960700,"Q","N",40.742807,-73.751633,1,3
1298960760,"Q","N",40.827137,-73.878848,1,3
1298961000,"B","N",40.882663,-73.859941,1,3
1298961000,"B","N",40.697576,-73.741888,1,3
1298961000,"B","Y",40.812751,-73.945569,1,3
1298961000,"B","N",40.669959,-73.908884,1,3
1298961000,"B","N",40.792096,-73.949995,1,3
1298961000,"B","N",40.829021,-73.944837,1,3
1298961000,"Q","N",40.839676,-73.900104,1,3
1298961060,"B","N",40.774614,-73.923981,1,3
1298961480,"B","N",40.669684,-73.910741,1,3
1298961600,"Q","N",40.586989,-73.809789,1,3
1298961900,"A","N",40.764711,-73.830685,1,3
1298961900,"B","N",40.668454,-73.922397,1,3
1298961900,"P","N",40.797946,-73.940023,1,3
1298962020,"B","N",40.823647,-73.943844,1,3
1298962200,"Q","N",40.835643,-73.892998,1,3
1298962500,"B","N",40.814806,-73.944621,1,3
1298962500,"W","N",40.706996,-73.958066,1,3
1298962500,"W","N",40.712321,-73.732008,1,3
1298962800,"B","N",40.81857,-73.94133,1,3
1298962800,"B","N",40.676343,-73.910926,1,3
1298962800,"B","N",40.83406,-73.944879,1,3
1298962800,"B","N",40.877159,-73.865768,1,3
1298962800,"P","N",40.877159,-73.865768,1,3
1298962800,"Q","N",40.80034,-73.947884,1,3
1298962800,"Q","N",40.80034,-73.947884,1,3
1298962800,"W","Y",40.70206,-73.992613,1,3
1298962980,"W","N",40.719247,-73.985645,1,3
1298963100,"B","N",40.668415,-73.910414,1,3
1298963100,"B","N",40.77468,-73.986117,1,3
1298963100,"B","N",40.765363,-73.827864,1,3
1298963100,"Q","Y",40.880391,-73.877076,1,3
1298963160,"P","N",40.833055,-73.905914,1,3
1298963340,"Q","N",40.755505,-73.922905,1,3
1298963400,"B","N",40.71204,-73.736453,1,3
1298963400,"I","N",40.71204,-73.736453,1,3
