"unix_time","race","arstmade","lat","lng","daystop","monthstop"
1304449200,"B","N",40.877878,-73.865951,3,5
1304461920,"B","N",40.79264,-73.950223,3,5
1304468400,"B","N",40.64427,-73.952755,3,5
1304478000,"B","N",40.798979,-73.947679,3,5
1304481900,"B","N",40.884548,-73.832337,4,5
1304548200,"B","N",40.670167,-73.914788,4,5
1304621400,"B","N",40.866067,-73.894374,5,5
1304636700,"B","N",40.647114,-73.898029,5,5
1304636700,"B","N",40.647114,-73.898029,5,5
1304640000,"B","N",40.851967,-73.897086,5,5
1304651700,"B","N",40.669547,-73.911664,5,5
1304706000,"B","N",40.752316,-73.985945,6,5
1304713800,"B","N",40.674906,-73.944463,6,5
1304713800,"B","N",40.628585,-73.921117,6,5
1304715600,"B","N",40.825697,-73.899121,6,5
1304721600,"B","N",40.65164,-73.941931,6,5
1304727300,"B","N",40.653743,-73.931607,6,5
1304741700,"Q","N",40.644916,-73.997935,7,5
1304816400,"Q","N",40.642316,-73.926445,7,5
1304820600,"B","N",40.689375,-73.793696,7,5
1304903400,"B","N",40.667478,-73.956224,8,5
1304928000,"Q","N",40.74725,-73.887507,9,5
1304956200,"B","N",40.711534,-74.010464,9,5
1304970300,"B","N",40.879227,-73.872352,9,5
1304984700,"B","N",40.815305,-73.943699,9,5
1304989200,"B","N",40.668857,-73.870325,9,5
1304996700,"B","N",40.818433,-73.953216,9,5
1305004800,"B","N",40.743429,-73.996127,10,5
1305055800,"B","N",40.880652,-73.864932,10,5
1305056400,"B","N",40.668156,-73.937331,10,5
1305061200,"B","N",40.876834,-73.864716,10,5
1305072000,"B","N",40.671997,-73.87741,10,5
1305072000,"B","N",40.871408,-73.865208,10,5
1305166200,"B","N",40.660052,-73.917418,11,5
1305178200,"B","N",40.788949,-73.940558,12,5
1305185100,"B","N",40.682426,-73.868968,12,5
1305206400,"W","N",40.590505,-73.960584,12,5
1305243300,"B","N",40.81401,-73.944647,12,5
1305249000,"B","N",40.886056,-73.844835,12,5
1305255600,"B","N",40.739751,-74.002522,12,5
1305256800,"B","N",40.666746,-73.912911,12,5
1305260400,"B","N",40.836178,-73.884248,13,5
1305266400,"Q","N",40.831973,-73.923489,13,5
1305274800,"B","N",40.731706,-74.000956,13,5
1305318300,"B","N",40.762226,-73.968186,13,5
1305327300,"B","N",40.807158,-73.955254,13,5
1305333300,"Q","N",40.835382,-73.942186,13,5
1305335400,"B","N",40.833464,-73.943481,13,5
1305337800,"B","N",40.76229,-73.986105,13,5
1305339600,"B","N",40.695662,-73.78848,13,5
1305340200,"B","N",40.649829,-74.009081,13,5
1305340200,"B","N",40.623873,-73.935464,13,5
1305347700,"B","N",40.829853,-73.944843,14,5
1305349200,"B","N",40.651486,-73.935963,14,5
1305408600,"B","N",40.796515,-73.943173,14,5
1305431400,"B","N",40.80111,-73.965217,14,5
1305438000,"B","N",40.713135,-74.004058,15,5
1305497700,"B","N",40.823495,-73.864145,15,5
1305504000,"B","N",40.757232,-73.989792,15,5
1305505500,"B","N",40.669796,-73.870561,15,5
1305507600,"B","N",40.6891,-73.958161,15,5
1305507600,"B","N",40.828729,-73.942206,15,5
1305577500,"Q","N",40.867088,-73.885738,16,5
1305664800,"B","N",40.763425,-73.830158,17,5
1305677700,"B","N",40.669333,-73.90431,17,5
1305767400,"B","N",40.811412,-73.936517,18,5
1305772200,"W","N",40.756527,-73.994019,18,5
1305825000,"B","N",40.667772,-73.905866,19,5
1305839700,"B","N",40.830778,-73.896996,19,5
1305856800,"Q","N",40.743939,-73.855267,19,5
1305860400,"B","N",40.700032,-73.788715,19,5
1305866400,"B","N",40.664545,-73.906292,20,5
1305940800,"B","N",NA,NA,20,5
1305942600,"Q","N",40.726665,-73.983089,20,5
1305942600,"Q","N",40.812564,-73.921293,20,5
1305950700,"B","N",40.641304,-73.942751,21,5
1305954000,"B","N",40.599902,-73.761588,21,5
1306027800,"B","N",40.836476,-73.885108,21,5
1306031400,"B","N",40.690483,-73.939532,21,5
1306105500,"B","N",40.662278,-73.910776,22,5
1306180800,"B","N",40.665073,-73.927393,23,5
1306182600,"B","N",40.829833,-73.942914,23,5
1306266000,"B","N",40.689698,-73.975104,24,5
1306368000,"Q","N",40.820769,-73.954584,25,5
1306368900,"B","N",40.82588,-73.870839,25,5
1306369800,"B","N",40.692972,-73.815365,25,5
1306372500,"B","N",40.647901,-73.960608,25,5
1306373400,"B","N",40.800891,-73.934855,25,5
1306373580,"B","N",40.803125,-73.940448,25,5
1306380600,"B","N",40.666071,-73.906643,25,5
1306385400,"B","N",40.818933,-73.937323,26,5
1306462200,"Q","N",40.639671,-74.010359,26,5
1306470300,"B","N",40.819279,-73.943324,27,5
1306477200,"W","N",40.746618,-73.993814,27,5
1306541700,"B","N",40.79939,-73.947379,27,5
1306545600,"B","N",40.672653,-73.890794,27,5
1306571700,"Q","N",40.679655,-73.885555,28,5
1306626000,"B","N",40.796381,-73.964945,28,5
1306703700,"B","N",40.662357,-73.910289,29,5
1306717500,"B","N",40.665628,-73.866478,29,5
1306802700,"B","N",40.667707,-73.906353,30,5
1306816680,"B","N",40.795836,-73.941549,31,5
1306885500,"B","N",40.664444,-73.907075,31,5
1304222400,"B","N",40.757794,-73.985117,1,5
1304222400,"B","N",40.658009,-73.920765,1,5
1304222400,"B","N",40.757794,-73.985117,1,5
1304222400,"B","N",40.757794,-73.985117,1,5
1304222400,"P","N",40.730591,-73.992408,1,5
1304222400,"W","N",40.754544,-73.830552,1,5
1304222460,"P","N",40.790839,-73.950903,1,5
1304222460,"Q","N",40.614198,-73.947456,1,5
1304222460,"Q","N",40.606043,-73.97829,1,5
1304222460,"Q","N",40.749485,-73.883305,1,5
1304222700,"B","N",40.688175,-73.946525,1,5
1304222700,"P","N",40.601956,-74.088754,1,5
1304222700,"Q","N",40.696864,-73.837165,1,5
1304222700,"W","N",40.601956,-74.088754,1,5
1304222700,"W","N",40.601956,-74.088754,1,5
1304222700,"A","N",40.696864,-73.837165,1,5
1304222700,"Q","N",40.755029,-73.872691,1,5
1304222700,"W","N",40.601956,-74.088754,1,5
1304222700,"W","N",40.601956,-74.088754,1,5
1304222700,"W","N",40.601956,-74.088754,1,5
1304222700,"W","N",40.601956,-74.088754,1,5
1304222700,"W","N",40.601956,-74.088754,1,5
1304222700,"W","N",40.713797,-73.951591,1,5
1304222700,"W","N",40.713797,-73.951591,1,5
1304222820,"W","N",40.698269,-73.834843,1,5
1304223000,"A","N",40.687546,-73.820792,1,5
1304223000,"B","N",40.821384,-73.954139,1,5
1304223000,"A","N",40.686004,-73.817375,1,5
1304223000,"B","N",40.595083,-73.759758,1,5
1304223000,"B","N",40.677028,-73.869776,1,5
1304223000,"B","N",40.674696,-73.784343,1,5
1304223000,"B","N",40.674696,-73.784343,1,5
1304223000,"P","N",40.750671,-73.863095,1,5
1304223000,"Q","N",40.812125,-73.904181,1,5
1304223000,"Q","N",40.75286,-73.874453,1,5
1304223060,"P","N",40.837803,-73.942141,1,5
1304223180,"B","N",40.817593,-73.953188,1,5
1304223300,"B","N",40.788443,-73.93954,1,5
1304223300,"Q","N",40.704346,-73.943966,1,5
1304223300,"B","N",40.806518,-73.91892,1,5
1304223300,"B","N",40.797255,-73.942609,1,5
1304223300,"B","N",40.788394,-73.939439,1,5
1304223300,"B","N",40.666717,-73.891611,1,5
1304223300,"B","N",40.691421,-73.866509,1,5
1304223300,"B","N",40.692315,-73.781686,1,5
1304223300,"B","N",40.692315,-73.781686,1,5
1304223300,"Q","N",40.684235,-73.889628,1,5
1304223300,"Q","N",40.684235,-73.889628,1,5
1304223300,"Q","N",40.684235,-73.889628,1,5
1304223300,"Q","N",40.691421,-73.866509,1,5
1304223300,"Q","N",40.664751,-73.89404,1,5
1304223300,"Q","N",40.704346,-73.943966,1,5
1304223360,"Q","N",40.684235,-73.889628,1,5
1304223420,"W","N",40.601956,-74.088754,1,5
1304223540,"B","N",40.664751,-73.89404,1,5
1304223600,"B","N",40.696227,-73.949389,1,5
1304223600,"B","N",40.636741,-74.119119,1,5
1304223600,"B","N",40.636741,-74.119119,1,5
1304223600,"B","N",40.795436,-73.943947,1,5
1304223600,"P","N",40.795311,-73.935911,1,5
1304223660,"B","N",40.636741,-74.119119,1,5
1304223720,"W","Y",40.721991,-73.981326,1,5
1304223720,"B","N",40.714312,-73.987165,1,5
1304223720,"B","N",40.664751,-73.89404,1,5
1304223720,"B","N",40.714312,-73.987165,1,5
1304223720,"B","N",40.714312,-73.987165,1,5
1304223720,"B","N",40.714312,-73.987165,1,5
1304223720,"B","N",40.664751,-73.89404,1,5
1304223720,"B","N",40.714312,-73.987165,1,5
1304223720,"B","N",40.714312,-73.987165,1,5
1304223720,"U","N",40.756051,-73.947655,1,5
1304223840,"B","Y",40.597708,-73.941355,1,5
1304223840,"B","N",40.597708,-73.941355,1,5
1304223840,"B","N",40.597708,-73.941355,1,5
1304223840,"B","N",40.664751,-73.89404,1,5
1304223840,"B","N",40.795853,-73.943654,1,5
1304223840,"B","N",40.795853,-73.943654,1,5
1304223840,"Q","Y",40.597708,-73.941355,1,5
1304223900,"B","N",40.664751,-73.89404,1,5
1304223900,"B","N",40.664751,-73.89404,1,5
1304223900,"B","N",40.685988,-73.907935,1,5
1304223900,"Q","N",40.596778,-73.975038,1,5
1304223900,"W","N",40.684442,-73.831906,1,5
1304224200,"B","N",40.692151,-73.862148,1,5
1304224200,"B","N",40.686091,-73.950724,1,5
1304224200,"B","N",40.692151,-73.862148,1,5
1304224200,"B","N",40.670102,-73.874007,1,5
1304224200,"P","N",40.675964,-73.818192,1,5
