"unix_time","race","arstmade","lat","lng"
1301688000,"B","N",40.665468,-73.907816
1301691600,"B","N",40.694562,-73.934375
1301696400,"B","N",40.624142,-73.93519
1301696400,"B","N",40.898253,-73.85785
1301697600,"B","N",40.62619,-73.921837
1301702400,"B","N",40.687698,-73.91094
1301703300,"B","N",40.662817,-73.919671
1301709900,"B","N",40.809896,-73.944545
1301712300,"B","N",40.816024,-73.954349
1301720400,"B","N",40.807097,-73.945978
1301797800,"B","N",40.636127,-73.912335
1301805900,"B","N",40.655397,-73.92976
1301807700,"B","N",40.793802,-73.937029
1301807700,"Q","N",40.793802,-73.937029
1301850000,"B","N",40.695717,-73.939588
1301952000,"B","N",40.772961,-73.98576
1301959800,"B","N",40.82929,-73.916409
1302036600,"B","N",40.757232,-73.989792
1302045000,"B","N",40.807148,-73.943981
1302112500,"B","N",40.627811,-73.933644
1302121800,"B","N",40.667142,-73.959245
1302130800,"Q","N",40.896896,-73.844166
1302192000,"B","N",40.651646,-73.932323
1302195600,"Q","N",40.692784,-73.911806
1302204000,"B","N",NA,NA
1302213000,"B","N",40.702473,-73.79992
1302222600,"B","N",40.821389,-73.866108
1302305100,"B","N",40.837296,-73.939015
1302314100,"P","N",40.757358,-73.987972
1302371700,"B","N",40.659737,-73.926577
1302382800,"B","N",40.808492,-73.947166
1302403500,"Q","N",40.610599,-73.980392
1302462600,"B","N",40.692261,-73.950096
1302467400,"B","N",40.71871,-74.000937
1302557400,"B","N",NA,NA
1302625800,"B","N",40.806414,-73.942262
1302634200,"B","N",40.687139,-73.942643
1302739800,"B","N",NA,NA
1302740400,"P","N",40.797944,-73.942121
1302813000,"B","N",40.656801,-73.927993
1302813000,"B","N",40.656801,-73.927993
1302829200,"B","N",40.660072,-73.923044
1302829200,"B","N",40.660072,-73.923044
1302831000,"B","N",40.801432,-73.936458
1302891600,"B","N",40.652176,-73.928474
1302892200,"B","N",40.804375,-73.93742
1302903000,"B","N",40.667475,-73.90795
1302911100,"B","N",40.667707,-73.906353
1302921600,"B","N",40.865265,-73.896396
1302923700,"B","N",40.828533,-73.90346
1302924300,"B","N",40.758021,-73.981793
1302930000,"B","N",40.795467,-73.946042
1303009200,"Q","N",40.613553,-73.981749
1303086000,"Q","N",40.814554,-73.957316
1303091100,"B","N",NA,NA
1303170000,"B","N",40.670156,-73.904086
1303171500,"B","N",40.792087,-73.947966
1303184400,"B","N",NA,NA
1303190100,"Q","N",40.835022,-73.940445
1303228200,"B","N",40.70148,-74.012543
1303239000,"B","N",40.63291,-73.927356
1303256700,"B","N",40.819142,-73.937182
1303314000,"B","N",40.670072,-73.915902
1303317300,"B","N",40.70148,-74.012543
1303323300,"B","N",40.649218,-73.944574
1303344000,"B","N",40.682253,-73.919867
1303349700,"Q","N",40.822174,-73.952105
1303350000,"B","N",40.687505,-73.926305
1303361400,"B","N",40.724536,-73.989418
1303428600,"Q","N",40.837274,-73.94423
1303434900,"B","N",40.804449,-73.941649
1303434900,"B","N",40.725415,-73.989977
1303491600,"W","N",NA,NA
1303516200,"B","N",40.824389,-73.901175
1303517400,"B","N",40.808571,-73.926236
1303523700,"B","Y",40.719127,-74.006937
1303527120,"B","N",NA,NA
1303536600,"B","N",40.885648,-73.844008
1303548000,"B","N",40.818908,-73.868176
1303596000,"B","N",40.644042,-73.936082
1303598400,"Q","N",40.816032,-73.908081
1303608000,"Q","N",40.845366,-73.934786
1303615200,"B","N",40.811114,-73.949335
1303732500,"B","N",40.711814,-73.859774
1303756200,"B","N",40.744099,-73.995644
1303822200,"W","N",40.73985,-74.002439
1303854600,"B","N",40.667707,-73.906353
1303856400,"B","N",40.75099,-73.990623
1303860600,"B","N",40.665738,-73.909012
1303860600,"B","N",40.818471,-73.868227
1303871400,"B","N",40.834421,-73.941876
1303934400,"B","N",40.647115,-73.943373
1303958100,"B","N",40.818472,-73.941391
1303964100,"B","N",NA,NA
1303964400,"B","N",40.678466,-73.928424
1303965000,"B","N",40.828533,-73.90346
1303965900,"B","N",40.820437,-73.93623
1304022300,"B","N",40.65785,-73.916473
1304040600,"B","N",40.828065,-73.916086
1304053500,"Q","N",40.666005,-73.907098
1304119800,"B","N",40.669188,-73.90528
1304127600,"B","N",40.829336,-73.887614
1304130000,"B","N",40.662663,-73.908231
1304135100,"B","N",40.68904,-73.958698
1304193600,"B","N",40.797946,-73.940023
1304205600,"B","N",40.839329,-73.899031
1304207400,"B","N",40.83569,-73.937383
1304211600,"B","N",40.80197,-73.945509
1304211900,"B","N",NA,NA
1304213400,"B","N",40.795709,-73.946623
1304217600,"B","N",40.830845,-73.947224
1301630400,"Q","N",40.745081,-73.86437
1301630400,"Q","N",40.839513,-73.937849
1301630400,"Q","N",40.839513,-73.937849
1301630460,"B","N",40.749706,-73.991561
1301630460,"Q","N",40.609094,-74.005679
1301630460,"Q","N",40.835172,-73.94408
1301630520,"B","Y",40.685847,-73.794443
1301630700,"Q","N",40.832649,-73.90615
1301630700,"Q","N",40.704813,-73.939313
1301630700,"W","Y",40.700003,-73.889498
1301630700,"W","N",40.862042,-73.8665
1301630700,"W","N",40.731842,-73.757097
1301630700,"Z","N",40.837953,-73.845923
1301630940,"W","Y",40.787913,-73.955777
1301631000,"A","N",40.752229,-73.9391
1301631000,"B","N",40.81857,-73.94133
1301631000,"B","N",NA,NA
1301631000,"B","N",40.658308,-73.881825
1301631000,"B","N",40.658308,-73.881825
1301631000,"Q","N",40.631686,-74.012616
1301631000,"Q","N",40.631686,-74.012616
1301631000,"Q","N",40.631686,-74.012616
1301631000,"Q","N",40.689904,-73.867778
1301631000,"Q","N",40.689904,-73.867778
1301631240,"W","N",40.757358,-73.987972
1301631300,"B","N",40.81857,-73.94133
1301631300,"B","N",40.710528,-73.751566
1301631300,"B","Y",40.795831,-73.942878
1301631300,"P","N",40.83932,-73.915023
1301631300,"Z","N",40.842565,-73.838406
1301631540,"P","N",40.663125,-73.96243
1301631600,"B","N",40.62199,-74.078258
1301631600,"B","N",40.675229,-73.919807
1301631600,"B","N",NA,NA
1301631600,"P","N",40.715906,-73.986598
1301631600,"Q","N",40.753672,-73.873654
1301631600,"Q","N",40.715906,-73.986598
1301631600,"Q","N",40.753672,-73.873654
1301631600,"W","N",40.729775,-73.852513
1301631600,"W","N",40.729775,-73.852513
1301631720,"A","N",40.679286,-73.832622
1301631720,"A","N",40.679286,-73.832622
1301631720,"A","N",40.679286,-73.832622
1301631900,"B","N",40.835955,-73.883627
1301631900,"B","N",40.731535,-73.866321
1301631900,"P","N",40.731535,-73.866321
1301631900,"P","N",40.731535,-73.866321
1301631900,"P","N",40.731535,-73.866321
1301631900,"P","N",40.731535,-73.866321
1301631960,"A","N",40.679286,-73.832622
1301632200,"P","N",40.758587,-73.919328
1301632200,"B","N",40.83467,-73.92938
1301632200,"B","N",40.823239,-73.888549
1301632200,"B","N",40.810764,-73.95259
1301632200,"B","N",40.679959,-73.78248
1301632200,"B","N",40.67667,-73.79066
1301632200,"B","N",40.67667,-73.79066
1301632200,"P","N",NA,NA
1301632200,"Q","N",40.758587,-73.919328
1301632320,"B","N",40.833098,-73.940652
1301632320,"Q","N",40.842765,-73.845934
1301632440,"B","N",40.771515,-73.931277
1301632440,"B","N",40.77086,-73.929906
1301632440,"B","N",40.77086,-73.929906
1301632500,"B","Y",40.840225,-73.917682
1301632500,"Z","Y",40.840225,-73.917682
1301632800,"A","N",40.763425,-73.830158
1301632800,"B","N",40.666727,-73.86976
1301632800,"B","N",40.682616,-73.792672
1301632800,"W","N",40.685761,-73.9155
1301633040,"Q","N",NA,NA
1301633100,"A","N",40.719217,-73.754747
1301633100,"Q","N",40.759569,-73.830139
1301633340,"B","N",40.691949,-73.939826
1301633400,"B","N",40.693257,-73.973329
1301633400,"P","N",40.74788,-73.857301
1301633580,"Q","N",40.666133,-73.992239
1301633760,"W","Y",40.76338,-73.937512
1301633880,"B","N",40.805639,-73.934392
1301634000,"B","N",40.649439,-73.963076
1301634000,"B","N",40.697459,-73.993018
1301634000,"B","N",40.683777,-73.769744
1301634000,"B","N",40.664285,-73.908005
1301634000,"B","N",40.752814,-73.981372
1301634000,"B","N",40.752814,-73.981372
1301634000,"B","N",40.752814,-73.981372
1301634000,"Q","N",40.758949,-73.831909
1301634000,"Q","N",40.758949,-73.831909
1301634000,"Q","N",40.836629,-73.943244
1301634000,"W","N",40.631872,-74.11906
1301634120,"Q","N",40.837435,-73.84857
1301634300,"B","N",40.672532,-73.771178
1301634300,"Q","N",40.692549,-73.99097
1301634300,"Q","N",40.794808,-73.944406
1301634300,"Q","N",40.794808,-73.944406
1301634420,"B","N",40.664315,-73.907803
1301634480,"B","N",40.686965,-73.917994
1301634480,"I","N",40.686965,-73.917994
1301634600,"W","N",40.58597,-73.931011
1301634600,"W","N",40.58597,-73.931011
1301634720,"B","N",40.851194,-73.886377
1301634720,"Q","N",40.851194,-73.886377
1301634900,"A","N",40.732866,-73.732185
1301634900,"A","N",40.732866,-73.732185
1301634900,"B","N",40.673118,-73.878644
1301634900,"B","Y",40.770573,-73.907493
1301634900,"P","N",40.705,-73.827742
1301634900,"Q","N",40.673118,-73.878644
1301634900,"W","N",NA,NA
1301634900,"W","N",NA,NA
1301634900,"W","N",40.609402,-73.977976
1301634900,"W","N",40.609402,-73.977976
1301634900,"W","N",40.609402,-73.977976
1301634900,"W","N",40.609402,-73.977976
1301634900,"Z","N",40.827643,-73.874142
1301635380,"B","N",40.876451,-73.848166
1301635380,"W","N",40.628977,-74.027379
1301635500,"B","N",40.684449,-73.920305
1301635500,"B","N",40.810764,-73.95259
1301635500,"B","N",40.684449,-73.920305
1301635500,"B","N",40.671536,-73.957656
1301635500,"Q","Y",40.754559,-73.909584
1301635800,"Q","N",40.695609,-73.919552
1301635800,"W","N",NA,NA
1301635800,"B","N",40.67342,-73.790797
1301635800,"B","N",40.724235,-73.997784
1301635800,"P","N",40.695609,-73.919552
1301635800,"P","N",40.851697,-73.931993
1301635800,"P","N",40.851697,-73.931993
1301635800,"P","N",40.68921,-73.907098
1301635800,"Q","N",40.851697,-73.931993
1301635800,"Q","N",40.755131,-73.863241
1301635800,"Q","N",40.67897,-73.759824
1301635800,"W","N",40.67342,-73.790797
1301635920,"Q","N",40.824352,-73.820211
1301636220,"U","N",40.700582,-73.807741
1301636280,"B","N",40.68704,-73.905738
1301636280,"B","N",40.68704,-73.905738
1301636400,"B","N",40.602939,-74.124277
1301636400,"B","N",40.843205,-73.91195
1301636400,"Q","N",40.79911,-73.968555
1301636400,"W","N",40.742709,-73.984529
1301636460,"B","N",40.634441,-74.118633
1301636460,"Q","N",40.819479,-73.926877
1301636580,"W","N",40.742779,-73.711316
1301636700,"A","N",40.67897,-73.759824
1301637000,"Q","N",40.685128,-73.906422
1301637000,"B","N",40.81658,-73.946758
1301637000,"Q","N",40.685128,-73.906422
1301637300,"Q","N",40.631648,-74.087619
1301637360,"Q","N",40.81658,-73.946758
1301637360,"B","N",40.81658,-73.946758
1301637360,"W","N",40.599283,-73.952236
1301637420,"P","N",NA,NA
1301637420,"Q","N",NA,NA
1301637480,"B","N",40.649015,-73.930077
1301637600,"Q","N",40.84812,-73.930883
1301637600,"Z","N",40.867132,-73.925513
1301637660,"B","N",40.666014,-73.907033
1301637720,"A","N",40.631208,-73.90818
1301637720,"B","N",40.678276,-73.92466
1301637780,"W","N",40.603215,-73.995941
1301637900,"B","N",40.783978,-73.97773
1301637900,"B","N",40.783978,-73.97773
1301637900,"Q","N",40.783978,-73.97773
1301637900,"A","N",40.783978,-73.97773
1301637900,"B","N",40.833693,-73.913845
1301638380,"Q","N",40.841694,-73.904297
1301638500,"B","Y",40.636752,-74.119022
1301638500,"B","N",40.573725,-73.993974
1301638500,"B","N",40.688046,-73.934623
1301638500,"B","N",40.663728,-73.953848
1301638500,"Q","N",40.701835,-73.822103
1301638560,"B","N",40.905878,-73.847205
1301638800,"Q","N",40.66563,-73.985949
1301638800,"W","N",40.668268,-73.842134
1301639100,"B","N",40.688269,-73.926304
1301639160,"B","N",40.672246,-73.912403
1301639400,"A","N",40.761547,-73.831119
1301639400,"A","N",40.761547,-73.831119
1301639400,"B","N",40.63781,-74.087277
1301639400,"Q","N",40.70253,-73.814292
1301639460,"B","N",40.651733,-73.93038
1301639700,"B","N",40.683293,-73.834534
1301639700,"A","N",40.687546,-73.820792
1301639700,"B","N",40.660181,-73.914131
1301639700,"Q","N",40.749752,-73.863794
1301639700,"Q","N",40.749752,-73.863794
1301639700,"Q","N",40.683293,-73.834534
1301639700,"W","N",40.606385,-74.001206
1301639700,"W","N",40.606385,-74.001206
1301640000,"Q","N",40.70713,-73.903257
1301640060,"Q","N",40.868475,-73.821574
1301640120,"Q","N",40.783843,-73.979987
1301640360,"B","Y",40.771084,-73.908218
1301640600,"Q","N",40.686026,-73.825051
1301640780,"Z","N",40.838494,-73.911006
1301640900,"Q","N",40.573887,-74.0005
1301640900,"Q","N",40.819127,-73.952627
1301640900,"W","N",40.573887,-74.0005
1301641080,"B","N",40.885218,-73.879364
1301641080,"B","N",40.757473,-73.915806
1301641200,"B","N",40.798983,-73.944652
1301641200,"B","N",40.68949,-73.922069
1301641200,"Q","N",40.746844,-73.89143
1301641200,"W","N",40.84992,-73.931471
1301641200,"W","N",40.84992,-73.931471
1301641800,"P","N",40.889389,-73.898388
1301641860,"B","N",40.7674,-73.982379
1301642100,"B","N",40.625104,-74.148768
1301642220,"B","N",40.783843,-73.979987
1301642400,"B","N",40.660735,-73.899651
1301642400,"Q","Y",40.748223,-73.878342
1301642400,"Q","Y",40.748223,-73.878342
1301642400,"W","N",40.617005,-73.95692
1301642400,"W","N",40.618873,-74.084814
1301642400,"Z","Y",40.660735,-73.899651
1301642460,"Z","N",40.822442,-73.912877
1301642580,"Q","N",40.71774,-73.87321
1301642700,"Q","N",40.750744,-73.862872
1301642700,"B","N",40.731788,-73.989691
1301642760,"W","N",40.662607,-73.849432
1301643000,"W","N",40.761857,-73.963425
