"uid","year","pct","ser_num","datestop","timestop","recstat","inout","trhsloc","perobs","crimsusp","perstop","typeofid","explnstp","othpers","arstmade","arstoffn","sumissue","sumoffen","compyear","comppct","offunif","officrid","frisked","searched","contrabn","adtlrept","pistol","riflshot","asltweap","knifcuti","machgun","othrweap","pf_hands","pf_wall","pf_grnd","pf_drwep","pf_ptwep","pf_baton","pf_hcuff","pf_pepsp","pf_other","radio","ac_rept","ac_inves","rf_vcrim","rf_othsw","ac_proxm","rf_attir","cs_objcs","cs_descr","cs_casng","cs_lkout","rf_vcact","cs_cloth","cs_drgtr","ac_evasv","ac_assoc","cs_furtv","rf_rfcmp","ac_cgdir","rf_verbl","cs_vcrim","cs_bulge","cs_other","ac_incid","ac_time","rf_knowl","ac_stsnd","ac_other","sb_hdobj","sb_outln","sb_admis","sb_other","repcmd","revcmd","rf_furt","rf_bulg","offverb","offshld","forceuse","sex","race","dob","age","ht_feet","ht_inch","weight","haircolr","eyecolor","build","othfeatr","addrtyp","rescode","premtype","premname","addrnum","stname","stinter","crossst","aptnum","city","state","zip","addrpct","sector","beat","post","xcoord","ycoord","dettypcm","linecm","detailcm","monthstop","daystop","yearstop","hourstop","minutestop","lng","lat","unix_time","X","ntaname","ntacode"
"I1",2011,102,185,1012011,0,"A","O","P",1,"BURGLARY",6,"V","Y","N","N"," ","N"," ",0,0,"N"," ","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N",102,102,"Y","N"," ","S",NA,"M","A",9121989,21,5,8,182,"BK","BR","M"," ","R",NA,NA,"STREET"," "," ","JAMAICA AVENUE","117 STREET",NA,"QUEENS",NA,NA,102,"B"," ",NA,1030708,194185,"CM",1,14,1,1,2011,0,0,-73.832452,40.699547,1293858000,1,"Richmond Hill","QN54"
"I2",2011,115,50,1012011,5,"A","O","P",1,"FEL",2,"V","Y","N","N"," ","N"," ",0,0,"N"," ","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",115,115,"Y","N","V","S",NA,"M","B",7011995,15,5,6,140,"BK","BR","M"," ","R",NA,NA,"STREET"," "," ","37 AVENUE","101 STREET",NA,"QUEENS",NA,NA,115,"I"," ",NA,1021302,213563,"CM",1,85,1,1,2011,0,5,-73.866267,40.752779,1293858300,2,"North Corona","QN26"
"I3",2011,100,4,1012011,7,"1","O","H",1,"CPW",2,"V","Y","Y","N"," ","N"," ",0,0,"Y"," ","Y","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","Y","N","Y","N","N","N","N","N","N","N",100,100,"Y","N"," "," ",NA,"M","B",3151993,17,5,7,130,"BK","BR","T"," ","R",NA,NA,"NYCHA","81-04","ROCKAWAY BEACH","BEACH 81 STREET","BEACH 81 STREET",NA,"QUEENS",NA,NA,100,"B","4",34,1037668,153549,"CM",1,20,1,1,2011,0,7,-73.807673,40.587971,1293858420,3,"Hammels-Arverne-Edgemere","QN12"
"I4",2011,100,3,1012011,7,"1","O","H",1,"CPW",2,"V","Y","Y","N"," ","N"," ",0,0,"Y"," ","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","Y","N","Y","N","N","N","N","N","N","N",100,100,"N","N"," "," ",NA,"M","B",3201993,17,5,7,130,"BK","BR","T"," ","R",NA,NA,"NYCHA","81-04","ROCKAWAY BEACH","BEACH 81 STREET","BEACH 81 STREET",NA,"QUEENS",NA,NA,100,"B","4",34,1037668,153549,"CM",1,20,1,1,2011,0,7,-73.807673,40.587971,1293858420,4,"Hammels-Arverne-Edgemere","QN12"
"I5",2011,100,1,1012011,7,"1","O","H",1,"CPW",2,"V","Y","Y","N"," ","N"," ",0,0,"Y"," ","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","Y","N","Y","Y","Y","N","N","N","Y","N","Y","Y","N","N","N","N","N","N",100,100,"N","N"," "," ",NA,"M","B",9011990,20,6,3,185,"BK","BR","M"," ","R",NA,NA,"NYCHA","81-04","ROCKAWAY BEACH","BEACH 81 STREET","BEACH 81 STREET",NA,"QUEENS",NA,NA,100,"B","4",34,1037668,153549,"CM",1,20,1,1,2011,0,7,-73.807673,40.587971,1293858420,5,"Hammels-Arverne-Edgemere","QN12"
"I6",2011,100,2,1012011,7,"1","O","H",1,"CPW",2,"V","Y","Y","N"," ","N"," ",0,0,"Y"," ","Y","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","Y","N","Y","Y","N","N","N","N","N","N",100,100,"N","N"," "," ",NA,"M","B",9161993,17,5,6,150,"BK","BR","T"," ","R",NA,NA,"NYCHA","81-04","ROCKAWAY BEACH","BEACH 81 STREET","BEACH 81 STREET",NA,"QUEENS",NA,NA,100,"B","4",34,1037668,153549,"CM",1,20,1,1,2011,0,7,-73.807673,40.587971,1293858420,6,"Hammels-Arverne-Edgemere","QN12"
"I7",2011,101,8,1012011,10,"A","O","P",1,"FEL",5,"V","Y","N","N"," ","N"," ",0,0,"Y"," ","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","Y","N","N","N","N","N","N","N",101,101,"Y","N"," "," ",NA,"M","B",3031994,16,5,4,140,"BK","BR","T"," ","R",NA,NA,"STREET"," "," ","MOTT AVENUE","MCBRIDE STREET",NA,"QUEENS",NA,NA,101,"C"," ",NA,1051507,160090,"CM",1,20,1,1,2011,0,10,-73.757782,40.605831,1293858600,7,"Far Rockaway-Bayswater","QN15"
"I8",2011,70,1,1012011,10,"A","O","P",1,"FEL",5,"P","Y","N","N"," ","N"," ",0,0,"Y"," ","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",70,70,"Y","N"," "," ",NA,"M","B",12311900,19,5,10,150,"BK","BR","M"," ","R",NA,NA,"STREET","520","EAST 21 STREET","DITMAS AVENUE","DORCHESTER ROAD",NA,"BROOKLYN",NA,NA,70,"H","18",NA,995824,172912,"CM",1,20,1,1,2011,0,10,-73.958295,40.641272,1293858600,8,"Flatbush","BK42"
"I9",2011,73,6348,1012011,10,"1","O","P",1,"CRIMINAL TRESPASS",2,"P","Y","N","N"," ","N"," ",0,0,"Y"," ","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","Y","Y","N","N","N","N","N","N","N",165,165,"N","N"," "," ",NA,"M","B",12311900,35,6,0,200,"BK","BR","M"," ","R",NA,NA,"CRIMINAL TRES","240","LOTT AVENUE","STONE AVENUE","WATKINS STREET",NA,"BROOKLYN",NA,NA,73,"Q","15",NA,1010711,179162,"CM",1,31,1,1,2011,0,10,-73.904629,40.658395,1293858600,9,"Brownsville","BK81"
"I10",2011,52,2,1012011,15,"A","O","P",2,"ROBBERY",2,"V","Y","N","N"," ","N"," ",0,0,"Y"," ","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","Y","Y","Y","N","N","Y","N","Y","Y","Y","N","Y","N","N","Y","Y","N","N","N","N","N","N","N",163,163,"Y","N"," "," ",NA,"M","Q",12261990,20,5,8,160,"BK","BR","M"," ","R",NA,NA,"SIDEWALK","65","EAST 193 STREET","CRESTON AVENUE","MORRIS AVENUE",NA,"BRONX",NA,NA,52,"D"," ",NA,1012873,254829,"CM",1,85,1,1,2011,0,15,-73.896514,40.866074,1293858900,10,"Bedford Park-Fordham North","BX05"
