"unix_time","race","arstmade","lat","lng"
1296536460,"B","N",40.587723,-73.81009
1296536460,"B","Y",40.824031,-73.944758
1296536520,"Z","N",40.6752,-73.999351
1296536700,"Q","N",40.826657,-73.873895
1296536700,"B","N",40.816224,-73.941838
1296536700,"Q","N",40.704763,-73.919956
1296536700,"W","N",40.704763,-73.919956
1296536700,"W","N",40.816224,-73.941838
1296536880,"B","N",40.761422,-73.984048
1296536940,"B","N",40.646626,-74.008724
1296536940,"W","N",40.7563,-73.772947
1296537000,"P","N",40.797729,-73.94651
1296537000,"W","N",40.579983,-73.97476
1296537300,"W","N",40.529754,-74.21103
1296537300,"B","N",40.756876,-73.944351
1296537300,"Q","N",40.750408,-73.863984
1296537360,"P","N",40.710056,-73.794599
1296537360,"Q","N",40.827443,-73.875075
1296537600,"P","N",40.821705,-73.91902
1296537600,"Q","N",40.675781,-74.001395
1296537780,"Q","N",40.824946,-73.878335
1296537900,"Q","N",40.683243,-73.870077
1296537900,"B","N",40.703586,-73.944331
1296537900,"Q","N",40.750135,-73.860765
1296537900,"Q","N",40.707935,-73.785769
1296537960,"B","N",40.669645,-73.910939
1296538140,"W","N",40.569972,-74.110247
1296538140,"W","N",40.569972,-74.110247
1296538200,"B","N",40.757232,-73.989792
1296538320,"B","N",40.797715,-73.944411
1296538320,"B","N",40.797715,-73.944411
1296538500,"B","N",40.604802,-73.966795
1296538500,"Q","N",40.812842,-73.922011
1296538560,"B","N",40.670581,-73.930952
1296539100,"B","N",NA,NA
1296539100,"Q","N",40.753263,-73.864447
1296539100,"Q","N",40.753263,-73.864447
1296539280,"W","N",40.681611,-73.987665
1296539400,"W","N",40.687214,-73.835602
1296539400,"B","N",40.636838,-74.118374
1296539400,"B","N",40.636838,-74.118374
1296539400,"B","N",40.687214,-73.835602
1296539400,"P","N",40.831993,-73.905402
1296539400,"Q","N",40.743675,-73.887098
1296539700,"Q","N",40.773963,-73.922793
1296540000,"Z","N",40.635969,-74.117457
1296540000,"B","N",40.806023,-73.920332
1296540000,"B","N",40.883723,-73.833478
1296540000,"P","N",40.743675,-73.887098
1296540000,"Q","N",40.667096,-73.922751
1296540000,"Q","N",40.667096,-73.922751
1296540000,"Q","N",40.69125,-73.850863
1296540000,"Q","N",40.82581,-73.90703
1296540000,"W","N",40.69125,-73.850863
1296540000,"W","N",40.712454,-73.955967
1296540180,"B","N",40.800538,-73.948349
1296540180,"B","N",40.800538,-73.948349
1296540300,"B","N",40.648176,-73.897652
1296540300,"B","N",40.801207,-73.945669
1296540300,"P","N",NA,NA
1296540300,"Q","N",40.757232,-73.989792
1296540300,"Q","N",40.69125,-73.850863
1296540300,"Q","N",40.849542,-73.936398
1296540300,"W","N",NA,NA
1296540300,"W","N",NA,NA
1296540300,"W","N",40.777493,-73.942912
1296540300,"Z","N",40.664628,-73.849917
1296540600,"B","N",40.821645,-73.94313
1296540600,"P","N",40.773428,-73.987009
1296540600,"P","N",40.837511,-73.906587
1296540660,"Q","N",40.829445,-73.901532
1296540720,"B","N",40.670167,-73.914788
1296540780,"Q","N",40.666597,-73.871746
1296540900,"Q","N",40.698965,-73.918632
1296540900,"W","N",40.68766,-73.850569
1296541200,"B","N",40.666597,-73.871746
1296541200,"B","N",40.818146,-73.899284
1296541200,"B","N",40.818146,-73.899284
1296541500,"P","N",40.824509,-73.951854
1296541620,"Q","N",40.695794,-73.921149
1296541620,"Q","N",40.695794,-73.921149
1296541800,"B","N",40.835269,-73.940293
1296541800,"B","N",40.826441,-73.876753
1296541800,"B","Y",40.827951,-73.91713
1296541800,"Q","N",40.835269,-73.940293
1296541800,"W","Y",40.741587,-73.905235
1296542100,"Q","N",40.825263,-73.94979
1296542400,"B","N",40.675091,-73.891861
1296542520,"W","N",40.714078,-73.953282
1296542580,"Q","N",40.609385,-74.000021
1296542700,"B","N",40.83755,-73.852447
1296542700,"Q","N",40.609385,-74.000021
1296542700,"Q","N",40.609385,-74.000021
1296543000,"B","N",40.686755,-73.97552
1296543000,"W","N",40.781387,-73.952123
1296543000,"Z","N",40.686755,-73.97552
1296543060,"W","Y",40.599833,-74.002308
1296543120,"Q","N",40.863416,-73.923134
1296543120,"Q","N",40.863416,-73.923134
1296543120,"Q","N",40.863416,-73.923134
1296543300,"B","N",40.599902,-73.761588
1296543300,"Q","N",40.697164,-73.906845
1296543540,"B","N",40.670167,-73.914788
1296543600,"Q","N",40.690784,-73.988716
1296543600,"B","N",40.785804,-73.972671
1296543600,"B","N",40.700657,-73.942555
1296543600,"P","N",40.690784,-73.988716
1296543600,"Q","N",40.700657,-73.942555
1296543600,"Q","N",40.690784,-73.988716
1296543600,"W","N",40.592304,-73.973891
1296543600,"Z","N",40.825424,-73.923474
1296543900,"B","N",40.748289,-73.988176
1296544200,"B","N",40.810791,-73.888367
1296544200,"Z","N",40.810791,-73.888367
1296544800,"Z","N",40.772374,-73.960784
1296544920,"B","N",40.80034,-73.947884
1296545100,"B","N",40.688269,-73.926304
1296545400,"B","N",40.604488,-73.757816
1296546000,"Q","N",40.699531,-73.911036
1296546420,"B","N",40.655564,-73.879732
1296546420,"B","N",40.831623,-73.867258
1296546600,"B","N",40.670008,-73.95327
1296547200,"W","N",40.575647,-74.169806
1296547380,"B","N",40.655564,-73.879732
1296547500,"A","N",40.694068,-73.828009
1296547680,"B","N",40.886109,-73.848018
1296547680,"Q","N",40.886109,-73.848018
1296548400,"Q","N",40.766092,-73.866753
1296548400,"Q","N",40.766092,-73.866753
1296548400,"Q","N",40.766092,-73.866753
1296549000,"B","N",40.74763,-73.883937
1296549000,"B","N",40.721453,-73.843977
1296549000,"Q","N",40.74763,-73.883937
1296549000,"Q","N",40.749375,-73.867512
1296549000,"Q","N",40.749375,-73.867512
1296549060,"B","N",40.764322,-73.977196
1296550200,"B","N",40.642565,-74.086523
1296550560,"B","N",40.800374,-73.950874
1296551040,"U","N",40.713607,-73.912871
1296551100,"Q","Y",40.578824,-73.986273
1296551400,"B","N",40.81856,-73.927312
1296552000,"B","N",40.82653,-73.94666
1296552600,"B","N",40.81856,-73.927312
1296553200,"Q","N",40.683536,-73.872615
1296553500,"B","N",40.670253,-73.955891
1296553500,"Q","N",40.581958,-73.959941
1296553800,"B","Y",NA,NA
1296553800,"B","N",40.642048,-74.075327
1296553800,"B","N",40.642048,-74.075327
1296553800,"P","N",40.642048,-74.075327
1296553800,"Q","N",40.642048,-74.075327
1296553800,"W","N",40.642048,-74.075327
1296555300,"Q","N",40.672294,-73.8438
1296555300,"W","N",40.672294,-73.8438
1296555420,"B","N",40.685448,-73.991331
1296557460,"B","N",40.670886,-73.936489
1296557700,"W","N",40.670263,-73.856999
1296558000,"B","N",40.670886,-73.936489
1296559380,"Q","N",40.707749,-73.932295
1296559620,"B","N",40.743231,-73.988361
1296560700,"B","N",40.679269,-73.870983
1296562200,"Q","Y",40.683935,-73.871186
1296562800,"B","N",40.757232,-73.989792
1296563400,"B","N",40.757232,-73.989792
1296564000,"Z","N",40.689264,-73.851337
1296564000,"B","N",40.609912,-73.753608
1296564000,"Q","N",40.689264,-73.851337
1296564000,"Q","N",40.689264,-73.851337
1296564660,"B","N",40.625562,-73.946633
1296565080,"W","N",40.734983,-74.004831
1296565800,"B","N",40.798625,-73.941618
1296565920,"A","Y",40.761787,-73.821498
1296566100,"Q","N",NA,NA
1296567300,"W","N",40.725651,-73.86897
1296567360,"W","N",40.717158,-73.846686
1296567540,"B","N",40.880948,-73.903333
1296567600,"B","N",40.677118,-73.923778
1296567600,"B","N",40.6679,-73.84203
1296567600,"B","N",40.669727,-73.733063
1296567780,"I","N",NA,NA
1296567900,"A","N",40.770939,-73.949387
1296567900,"B","N",40.816227,-73.941888
1296567900,"B","N",40.695236,-73.975063
1296567900,"B","N",40.756035,-73.986948
1296568200,"B","N",40.684589,-73.989129
1296568200,"B","N",NA,NA
1296568200,"Q","N",40.684589,-73.989129
1296568200,"B","N",40.684589,-73.989129
1296568200,"B","N",40.684589,-73.989129
1296568500,"Q","N",40.820636,-73.893893
1296568800,"B","N",40.700582,-73.807741
1296569100,"B","N",40.634842,-74.134234
1296569100,"P","N",40.887855,-73.841739
1296569220,"B","N",40.887855,-73.841739
1296570000,"A","N",40.746481,-73.758895
1296570000,"B","N",40.629913,-73.937738
1296570600,"B","N",40.692679,-73.752685
1296570900,"B","N",40.685297,-73.932523
1296570900,"W","N",40.620375,-74.123611
1296570900,"Q","Y",40.696227,-73.949389
1296571440,"Q","N",40.743326,-73.984077
1296571680,"Q","N",40.743326,-73.984077
1296571800,"B","N",40.810764,-73.95259
1296572100,"W","N",40.733734,-73.989831
1296572100,"Z","N",40.775292,-73.953626
1296572400,"B","N",40.758021,-73.981793
1296572400,"W","N",40.721453,-73.843977
1296572400,"W","N",NA,NA
1296572520,"B","N",40.602272,-73.753355
1296572700,"Q","N",40.625302,-74.144258
1296572700,"Q","N",40.743079,-73.866063
1296572700,"Q","N",40.625302,-74.144258
