"unix_time","race","arstmade","lat","lng","daystop","monthstop"
1320120000,"Z","N",40.751747,-73.970804,1,11
1320120060,"B","Y",40.793453,-73.945383,1,11
1320120060,"B","Y",40.793782,-73.945169,1,11
1320120060,"Q","N",40.700378,-73.913733,1,11
1320120300,"B","N",40.793278,-73.948756,1,11
1320120300,"B","N",40.793278,-73.948756,1,11
1320120300,"B","N",40.793278,-73.948756,1,11
1320120300,"B","N",40.589915,-73.809781,1,11
1320120300,"B","N",40.687783,-73.91906,1,11
1320120300,"B","N",40.687783,-73.91906,1,11
1320120300,"P","N",40.646357,-74.01268,1,11
1320120300,"Q","N",40.755029,-73.872691,1,11
1320120300,"Q","N",40.755029,-73.872691,1,11
1320120300,"Q","N",40.646357,-74.01268,1,11
1320120300,"U","N",40.687783,-73.91906,1,11
1320120300,"W","N",40.746641,-73.891391,1,11
1320120480,"W","N",40.624572,-74.003004,1,11
1320120600,"B","N",40.649897,-73.907614,1,11
1320120600,"P","N",40.855328,-73.901321,1,11
1320120600,"Q","N",40.751937,-73.873354,1,11
1320120600,"Q","N",40.709146,-74.013082,1,11
1320120900,"Z","N",40.711822,-73.787848,1,11
1320120960,"B","N",40.665987,-73.863969,1,11
1320121200,"Q","N",40.709146,-74.013082,1,11
1320121200,"Q","N",40.748614,-73.874631,1,11
1320121200,"Q","N",40.748614,-73.874631,1,11
1320121200,"W","N",40.706058,-73.875926,1,11
1320121200,"W","N",40.707269,-73.871286,1,11
1320121200,"Z","N",40.748614,-73.874631,1,11
1320121260,"Q","N",40.810764,-73.95259,1,11
1320121500,"W","N",40.734071,-73.988713,1,11
1320121500,"B","N",40.760951,-73.932244,1,11
1320121500,"B","N",40.734071,-73.988713,1,11
1320121500,"B","N",40.734071,-73.988713,1,11
1320121500,"B","N",40.814662,-73.901587,1,11
1320121560,"B","N",40.840868,-73.872805,1,11
1320121620,"Q","N",40.748717,-73.873699,1,11
1320121620,"Q","N",40.748717,-73.873699,1,11
1320121620,"Q","N",40.748717,-73.873699,1,11
1320121620,"Q","N",40.748717,-73.873699,1,11
1320121800,"B","N",40.757037,-73.871323,1,11
1320121800,"W","N",40.725431,-73.99677,1,11
1320121800,"A","N",40.772913,-73.896648,1,11
1320121800,"B","N",40.732038,-73.814917,1,11
1320121800,"B","Y",40.695754,-73.791866,1,11
1320121800,"B","N",40.789563,-73.949784,1,11
1320121800,"Q","N",40.559089,-74.11549,1,11
1320121800,"Q","N",40.772939,-73.89793,1,11
1320121800,"Q","N",40.772939,-73.89793,1,11
1320121800,"Q","N",40.772913,-73.896648,1,11
1320121800,"Q","N",40.772913,-73.896648,1,11
1320121800,"W","N",40.559089,-74.11549,1,11
1320121800,"W","N",40.559089,-74.11549,1,11
1320121800,"W","N",40.559089,-74.11549,1,11
1320121800,"W","N",40.559089,-74.11549,1,11
1320121800,"W","N",40.725431,-73.99677,1,11
1320121800,"Z","N",40.675312,-73.843303,1,11
1320122040,"W","Y",40.768021,-73.77329,1,11
1320122100,"B","N",40.678543,-73.949677,1,11
1320122100,"P","N",40.805057,-73.939034,1,11
1320122100,"Q","N",40.753326,-73.871792,1,11
1320122100,"Q","N",40.753326,-73.871792,1,11
1320122100,"Q","N",40.699531,-73.911036,1,11
1320122100,"Q","N",40.64721,-74.015308,1,11
1320122160,"B","N",40.695028,-73.995189,1,11
1320122220,"W","N",40.575185,-73.975838,1,11
1320122400,"B","N",40.851394,-73.931259,1,11
1320122400,"B","N",40.788713,-73.945906,1,11
1320122400,"B","N",40.851394,-73.931259,1,11
1320122400,"Q","N",40.798625,-73.941618,1,11
1320122520,"Q","N",40.851394,-73.931259,1,11
1320122520,"W","N",40.575185,-73.975838,1,11
1320122700,"B","N",40.573571,-73.999326,1,11
1320122700,"B","N",40.573571,-73.999326,1,11
1320122700,"B","N",40.573571,-73.999326,1,11
1320122700,"B","N",40.573571,-73.999326,1,11
1320122700,"B","N",40.667475,-73.90795,1,11
1320122700,"Q","N",40.750725,-73.875013,1,11
1320122700,"Q","N",40.814724,-73.899954,1,11
1320122700,"Q","N",40.74763,-73.883937,1,11
1320122700,"Q","N",40.74763,-73.883937,1,11
1320123000,"B","N",40.840225,-73.917682,1,11
1320123000,"B","N",NA,NA,1,11
1320123000,"B","N",NA,NA,1,11
1320123000,"B","N",NA,NA,1,11
1320123000,"B","N",40.636073,-73.9511,1,11
1320123000,"Q","N",40.652621,-74.009514,1,11
1320123180,"W","N",40.744915,-73.903686,1,11
1320123300,"B","N",40.638144,-73.953321,1,11
1320123300,"Q","N",40.647804,-74.007527,1,11
1320123300,"W","N",40.599902,-73.761588,1,11
1320123360,"B","N",40.701958,-73.923887,1,11
1320123600,"B","N",40.804994,-73.934869,1,11
1320123600,"B","N",40.666491,-73.903936,1,11
1320123600,"Q","N",40.743482,-73.921479,1,11
1320123600,"Q","N",40.743482,-73.921479,1,11
1320123600,"W","N",40.874602,-73.909688,1,11
1320123600,"B","N",40.666491,-73.903936,1,11
1320123720,"Q","N",40.754643,-73.989525,1,11
1320123720,"Q","N",40.754643,-73.989525,1,11
1320123720,"W","N",40.689929,-73.981476,1,11
1320123900,"B","N",40.80399,-73.960317,1,11
1320123900,"P","N",40.752779,-73.866267,1,11
1320123900,"P","N",40.641849,-74.017364,1,11
1320123900,"Q","N",NA,NA,1,11
1320123900,"Q","N",40.748905,-73.87184,1,11
1320123900,"Q","N",40.748905,-73.87184,1,11
1320123900,"Q","N",40.748905,-73.87184,1,11
1320123900,"W","N",40.641849,-74.017364,1,11
1320123900,"Z","N",40.748905,-73.87184,1,11
1320124020,"Q","Y",40.793782,-73.945169,1,11
1320124020,"B","N",40.793782,-73.945169,1,11
1320124080,"B","N",40.758949,-73.831909,1,11
1320124440,"B","N",40.689455,-73.98453,1,11
1320124500,"B","N",40.864632,-73.892131,1,11
1320124500,"B","N",40.820494,-73.922653,1,11
1320124500,"B","N",40.597665,-73.785373,1,11
1320124500,"B","N",40.597665,-73.785373,1,11
1320124500,"B","N",40.690505,-73.958856,1,11
1320124500,"B","N",40.839986,-73.877415,1,11
1320124500,"P","N",40.691421,-73.866509,1,11
1320124500,"Q","N",40.693704,-73.905043,1,11
1320124500,"Q","Y",40.835932,-73.943512,1,11
1320124500,"Q","Y",40.835932,-73.943512,1,11
1320124500,"Q","Y",40.835932,-73.943512,1,11
1320124500,"Q","Y",40.835932,-73.943512,1,11
1320124500,"Q","Y",40.835932,-73.943512,1,11
1320124500,"Q","Y",40.835932,-73.943512,1,11
1320124500,"Q","N",40.70153,-73.920775,1,11
1320124500,"U","N",40.834417,-73.928538,1,11
1320124620,"A","N",40.753326,-73.871792,1,11
1320124620,"B","N",40.637225,-74.006348,1,11
1320124680,"Q","N",40.70153,-73.920775,1,11
1320124680,"B","N",40.704721,-73.94028,1,11
1320124800,"P","N",40.835932,-73.943512,1,11
1320124800,"Q","N",40.747504,-73.868526,1,11
1320124800,"Q","N",40.747504,-73.868526,1,11
1320124800,"Q","N",40.747504,-73.868526,1,11
1320124800,"Q","N",40.747504,-73.868526,1,11
1320124800,"Q","N",40.747504,-73.868526,1,11
