"uid","year","pct","ser_num","datestop","timestop","recstat","inout","trhsloc","perobs","crimsusp","perstop","typeofid","explnstp","othpers","arstmade","arstoffn","sumissue","sumoffen","compyear","comppct","offunif","officrid","frisked","searched","contrabn","adtlrept","pistol","riflshot","asltweap","knifcuti","machgun","othrweap","pf_hands","pf_wall","pf_grnd","pf_drwep","pf_ptwep","pf_baton","pf_hcuff","pf_pepsp","pf_other","radio","ac_rept","ac_inves","rf_vcrim","rf_othsw","ac_proxm","rf_attir","cs_objcs","cs_descr","cs_casng","cs_lkout","rf_vcact","cs_cloth","cs_drgtr","ac_evasv","ac_assoc","cs_furtv","rf_rfcmp","ac_cgdir","rf_verbl","cs_vcrim","cs_bulge","cs_other","ac_incid","ac_time","rf_knowl","ac_stsnd","ac_other","sb_hdobj","sb_outln","sb_admis","sb_other","repcmd","revcmd","rf_furt","rf_bulg","offverb","offshld","forceuse","sex","race","dob","age","ht_feet","ht_inch","weight","haircolr","eyecolor","build","othfeatr","addrtyp","rescode","premtype","premname","addrnum","stname","stinter","crossst","aptnum","city","state","zip","addrpct","sector","beat","post","xcoord","ycoord","dettypcm","linecm","detailcm","monthstop","daystop","yearstop","hourstop","minutestop","lng","lat","unix_time","X","ntaname","ntacode"
"I1632",2011,120,66,1022011,1130,"A","I","P",1,"CPW",2,"O","Y","N","N"," ","N"," ",0,0,"Y"," ","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",120,120,"N","Y"," "," ",NA,"M","P",7031990,20,5,10,170,"BK","BR","M"," ","R",NA,NA,"RESIDENTIAL"," "," ","PARK AVENUE","NEW STREET",NA,"STATEN IS",NA,NA,120,"P"," ",NA,947337,171202,"CM",1,20,1,2,2011,11,30,-74.132998,40.636509,1293985800,1595,"Port Richmond","SI28"
"I1633",2011,48,538,1022011,1130,"A","O","P",2,"MISD",2,"R","Y","N","N"," ","N"," ",0,0,"Y"," ","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","N","N","Y","N","Y","N","N","N","N","N","N","N",48,48,"N","N"," "," ",NA,"Z","Z",12311900,29,5,8,170,"BK","BR","T"," ","R",NA,NA,"STREET"," "," ","BOSTON ROAD","BRYANT AVENUE",NA,"BRONX",NA,NA,48,"E","11",NA,1016650,245189,"CM",1,74,1,2,2011,11,30,-73.882905,40.839602,1293985800,1596,"East Tremont","BX17"
"I1634",2011,120,27,1022011,1140,"1","I","H",2,"ASSAULT 3",5,"V","Y","N","N"," ","N"," ",0,0,"Y"," ","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","Y","N","N","N","Y","Y","N","N","N","N","N","N","N","N",120,120,"N","N"," "," ",NA,"F","B",3281980,30,5,6,110,"BR","BR","M"," ","R",NA,NA,"MULTIPLE DWEL","29","WARREN STREET","HILL STREET","GORDON STREET",NA,"STATEN IS",NA,NA,120,"C"," ",NA,961316,165953,"CM",1,9,1,2,2011,11,40,-74.082613,40.622149,1293986400,1597,"Stapleton-Rosebank","SI37"
"I1635",2011,24,27,1022011,1140,"A","I","P",1,"BURGLARY",2,"P","Y","N","N"," ","N"," ",0,0,"Y"," ","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N",24,24,"N","N"," "," ",NA,"M","A",6081975,35,5,6,145,"BK","BR","T"," ","R",NA,NA,"RESTAURANT","710","AMSTERDAM AVENU","WEST 95 STREET","WEST 94 STREET",NA,"MANHATTAN",NA,NA,24,"C"," ",13,992253,228215,"CM",1,14,1,2,2011,11,40,-73.971097,40.793069,1293986400,1598,"Upper West Side","MN12"
"I1636",2011,105,10,1022011,1142,"A","O","P",2,"FEL",5,"P","Y","N","N"," ","N"," ",0,0,"Y"," ","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",105,105,"N","N"," "," ",NA,"M","A",6061954,56,5,7,180,"BR","BR","M"," ","R",NA,NA,"STREET"," "," ","JAMAICA AVENUE","213 STREET",NA,"QUEENS",NA,NA,105,"J","23",NA,1055119,200339,"CM",1,85,1,2,2011,11,42,-73.744351,40.716277,1293986520,1599,"Queens Village","QN34"
"I1637",2011,48,539,1022011,1145,"A","O","P",2,"MISD",2,"R","Y","N","N"," ","N"," ",0,0,"Y"," ","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","Y","Y","N","N","N","N","N","N","N",48,48,"N","N"," "," ",NA,"Z","Z",12311900,27,6,0,190,"BK","BR","T"," ","R",NA,NA,"SIDEWALK"," "," ","BOSTON ROAD","BRYANT AVENUE",NA,"BRONX",NA,NA,48,"E","11",NA,1016650,245189,"CM",1,74,1,2,2011,11,45,-73.882905,40.839602,1293986700,1600,"East Tremont","BX17"
"I1638",2011,14,14,1022011,1150,"1","I","T",2,"GRAND LARCENY",5,"V","Y","N","N"," ","N"," ",0,0,"N"," ","Y","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","Y","N","N","N","Y","N","N","N","Y","Y","Y","N","N","N","N","N","N","N",861,861,"Y","N","V","S",NA,"M","B",12311900,47,6,1,200,"BK","BK","Z"," ","R",NA,NA,"R142K"," "," ","7 AVENUE","WEST 34 STREET",NA,"MANHATTAN",NA,NA,14,"C","7",NA,986848,212883,"CM",1,45,1,2,2011,11,50,-73.990623,40.75099,1293987000,1601,"Midtown-Midtown South","MN17"
"I1639",2011,48,537,1022011,1150,"A","O","P",1,"MISD",2,"R","Y","N","N"," ","N"," ",0,0,"Y"," ","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","N","N","Y","Y","N","N","N","N","N","N","N",48,48,"N","N"," "," ",NA,"Z","Z",12311900,27,5,6,140,"BK","BR","T"," ","R",NA,NA,"PARK"," "," ","BOSTON ROAD","BRYANT AVENUE",NA,"BRONX",NA,NA,48,"E","11",NA,1016650,245189,"CM",1,74,1,2,2011,11,50,-73.882905,40.839602,1293987000,1602,"East Tremont","BX17"
"I1640",2011,104,13,1022011,1156,"A","O","P",1,"BURGLARYQ",5,"P","Y","N","N"," ","N"," ",0,0,"Y"," ","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N",104,108,"N","N"," "," ",NA,"M","Q",10171958,52,5,8,175,"BK","BR","M"," ","R",NA,NA,"STREET"," "," ","HANCOCK STREET","WYCKOFF AVENUE",NA,"QUEENS",NA,NA,104,"B"," ",NA,1010081,193286,"CM",1,14,1,2,2011,11,56,-73.906845,40.697164,1293987360,1603,"Ridgewood","QN20"
"I1641",2011,120,14,1022011,1200,"A","O","P",1,"GLA",5,"V","Y","N","N"," ","N"," ",0,0,"Y"," ","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N",120,120,"N","N"," "," ",NA,"M","B",7241964,46,5,9,180,"BK","BR","M"," ","R",NA,NA,"STREET","165","DIXON AVENUE","MORNINGSTAR ROAD","WILLOW ROAD WEST",NA,"STATEN IS",NA,NA,120,"P"," ",NA,943308,168151,"CM",1,46,1,2,2011,12,0,-74.147496,40.628117,1293987600,1604,"Mariner's Harbor-Arlington-Port Ivory-Graniteville","SI12"
